result/tencentBlock.ns15027.oracleGeneral.zst TwoQ cache size    11594, 3329522 req, miss ratio 0.2569, byte miss ratio 0.2569
result/tencentBlock.ns15027.oracleGeneral.zst TwoQ cache size    38646, 3329522 req, miss ratio 0.1973, byte miss ratio 0.1973
result/tencentBlock.ns15027.oracleGeneral.zst TwoQ cache size    77293, 3329522 req, miss ratio 0.1591, byte miss ratio 0.1591
result/tencentBlock.ns15027.oracleGeneral.zst TwoQ cache size   154587, 3329522 req, miss ratio 0.1370, byte miss ratio 0.1370
result/tencentBlock.ns15027.oracleGeneral.zst TwoQ cache size   309175, 3329522 req, miss ratio 0.1229, byte miss ratio 0.1229
result/tencentBlock.ns15027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      386, 3329522 req, miss ratio 0.5362, byte miss ratio 0.5362
result/tencentBlock.ns15027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1159, 3329522 req, miss ratio 0.4414, byte miss ratio 0.4414
result/tencentBlock.ns15027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3864, 3329522 req, miss ratio 0.3236, byte miss ratio 0.3236
result/tencentBlock.ns15027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11594, 3329522 req, miss ratio 0.2877, byte miss ratio 0.2877
result/tencentBlock.ns15027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    38646, 3329522 req, miss ratio 0.2359, byte miss ratio 0.2359
result/tencentBlock.ns15027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    77293, 3329522 req, miss ratio 0.1943, byte miss ratio 0.1943
result/tencentBlock.ns15027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   154587, 3329522 req, miss ratio 0.1414, byte miss ratio 0.1414
result/tencentBlock.ns15027.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   309175, 3329522 req, miss ratio 0.1200, byte miss ratio 0.1200
result/tencentBlock.ns15027.oracleGeneral.zst B-LRU cache size      386, 3329522 req, miss ratio 0.5409, byte miss ratio 0.5409
result/tencentBlock.ns15027.oracleGeneral.zst B-LRU cache size     1159, 3329522 req, miss ratio 0.4554, byte miss ratio 0.4554
result/tencentBlock.ns15027.oracleGeneral.zst B-LRU cache size     3864, 3329522 req, miss ratio 0.3562, byte miss ratio 0.3562
result/tencentBlock.ns15027.oracleGeneral.zst B-LRU cache size    11594, 3329522 req, miss ratio 0.3288, byte miss ratio 0.3288
result/tencentBlock.ns15027.oracleGeneral.zst B-LRU cache size    38646, 3329522 req, miss ratio 0.2589, byte miss ratio 0.2589
result/tencentBlock.ns15027.oracleGeneral.zst B-LRU cache size    77293, 3329522 req, miss ratio 0.2268, byte miss ratio 0.2268
