result/tencentBlock.ns8937.oracleGeneral.zst B-LRU cache size  2872290, 39709499 req, miss ratio 0.3186, byte miss ratio 0.3186
result/tencentBlock.ns8937.oracleGeneral.zst B-LRU cache size  5744580, 39709499 req, miss ratio 0.3006, byte miss ratio 0.3006
result/tencentBlock.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7180, 39709499 req, miss ratio 0.8473, byte miss ratio 0.8473
result/tencentBlock.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21542, 39709499 req, miss ratio 0.7997, byte miss ratio 0.7997
result/tencentBlock.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    71807, 39709499 req, miss ratio 0.6558, byte miss ratio 0.6558
result/tencentBlock.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   215421, 39709499 req, miss ratio 0.4067, byte miss ratio 0.4067
result/tencentBlock.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   718072, 39709499 req, miss ratio 0.2805, byte miss ratio 0.2805
result/tencentBlock.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1436145, 39709499 req, miss ratio 0.2474, byte miss ratio 0.2474
result/tencentBlock.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2872290, 39709499 req, miss ratio 0.2232, byte miss ratio 0.2232
result/tencentBlock.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  5744580, 39709499 req, miss ratio 0.1917, byte miss ratio 0.1917
result/tencentBlock.ns8937.oracleGeneral.zst TwoQ cache size     7180, 39709499 req, miss ratio 0.8119, byte miss ratio 0.8119
result/tencentBlock.ns8937.oracleGeneral.zst TwoQ cache size    21542, 39709499 req, miss ratio 0.7480, byte miss ratio 0.7480
result/tencentBlock.ns8937.oracleGeneral.zst TwoQ cache size    71807, 39709499 req, miss ratio 0.6547, byte miss ratio 0.6547
result/tencentBlock.ns8937.oracleGeneral.zst TwoQ cache size   215421, 39709499 req, miss ratio 0.3377, byte miss ratio 0.3377
result/tencentBlock.ns8937.oracleGeneral.zst TwoQ cache size   718072, 39709499 req, miss ratio 0.2465, byte miss ratio 0.2465
result/tencentBlock.ns8937.oracleGeneral.zst TwoQ cache size  1436145, 39709499 req, miss ratio 0.2394, byte miss ratio 0.2394
result/tencentBlock.ns8937.oracleGeneral.zst TwoQ cache size  2872290, 39709499 req, miss ratio 0.2263, byte miss ratio 0.2263
result/tencentBlock.ns8937.oracleGeneral.zst TwoQ cache size  5744580, 39709499 req, miss ratio 0.1920, byte miss ratio 0.1920
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO cache size     7180, 39709499 req, miss ratio 0.8109, byte miss ratio 0.8109
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO cache size    21542, 39709499 req, miss ratio 0.7372, byte miss ratio 0.7372
