result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d-1 cache size  5489527, 169624719 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d-1 cache size 10979055, 169624719 req, miss ratio 0.0811, byte miss ratio 0.0811
result/tencentBlock.ns2982.oracleGeneral.zst LRB cache size    13723, 169624719 req, miss ratio 0.1937, byte miss ratio 0.1937
result/tencentBlock.ns2982.oracleGeneral.zst LRB cache size    41171, 169624719 req, miss ratio 0.1553, byte miss ratio 0.1553
result/tencentBlock.ns2982.oracleGeneral.zst LRB cache size   137238, 169624719 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns2982.oracleGeneral.zst LRB cache size   411714, 169624719 req, miss ratio 0.0971, byte miss ratio 0.0971
result/tencentBlock.ns2982.oracleGeneral.zst LRB cache size  1372381, 169624719 req, miss ratio 0.0888, byte miss ratio 0.0888
result/tencentBlock.ns2982.oracleGeneral.zst LRB cache size  2744763, 169624719 req, miss ratio 0.0852, byte miss ratio 0.0852
result/tencentBlock.ns2982.oracleGeneral.zst LRB cache size  5489527, 169624719 req, miss ratio 0.0824, byte miss ratio 0.0824
result/tencentBlock.ns2982.oracleGeneral.zst LRB cache size 10979055, 169624719 req, miss ratio 0.0811, byte miss ratio 0.0811
result/tencentBlock.ns2982.oracleGeneral.zst TwoQ cache size    13723, 169624719 req, miss ratio 0.1834, byte miss ratio 0.1834
result/tencentBlock.ns2982.oracleGeneral.zst TwoQ cache size    41171, 169624719 req, miss ratio 0.1569, byte miss ratio 0.1569
result/tencentBlock.ns2982.oracleGeneral.zst TwoQ cache size   137238, 169624719 req, miss ratio 0.1196, byte miss ratio 0.1196
result/tencentBlock.ns2982.oracleGeneral.zst TwoQ cache size   411714, 169624719 req, miss ratio 0.1012, byte miss ratio 0.1012
result/tencentBlock.ns2982.oracleGeneral.zst TwoQ cache size  1372381, 169624719 req, miss ratio 0.0930, byte miss ratio 0.0930
result/tencentBlock.ns2982.oracleGeneral.zst TwoQ cache size  2744763, 169624719 req, miss ratio 0.0867, byte miss ratio 0.0867
result/tencentBlock.ns2982.oracleGeneral.zst TwoQ cache size  5489527, 169624719 req, miss ratio 0.0848, byte miss ratio 0.0848
result/tencentBlock.ns2982.oracleGeneral.zst TwoQ cache size 10979055, 169624719 req, miss ratio 0.0830, byte miss ratio 0.0830
result/tencentBlock.ns2982.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13723, 169624719 req, miss ratio 0.2236, byte miss ratio 0.2236
result/tencentBlock.ns2982.oracleGeneral.zst S4LRU(25:25:25:25) cache size    41171, 169624719 req, miss ratio 0.1696, byte miss ratio 0.1696
result/tencentBlock.ns2982.oracleGeneral.zst S4LRU(25:25:25:25) cache size   137238, 169624719 req, miss ratio 0.1296, byte miss ratio 0.1296
result/tencentBlock.ns2982.oracleGeneral.zst S4LRU(25:25:25:25) cache size   411714, 169624719 req, miss ratio 0.1037, byte miss ratio 0.1037
result/tencentBlock.ns2982.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1372381, 169624719 req, miss ratio 0.0949, byte miss ratio 0.0949
result/tencentBlock.ns2982.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2744763, 169624719 req, miss ratio 0.0873, byte miss ratio 0.0873
result/tencentBlock.ns2982.oracleGeneral.zst S4LRU(25:25:25:25) cache size  5489527, 169624719 req, miss ratio 0.0844, byte miss ratio 0.0844
result/tencentBlock.ns2982.oracleGeneral.zst S4LRU(25:25:25:25) cache size 10979055, 169624719 req, miss ratio 0.0811, byte miss ratio 0.0811
