result/tencentBlock.ns18112.oracleGeneral.zst TwoQ cache size      148, 1244491 req, miss ratio 0.1922, byte miss ratio 0.1922
result/tencentBlock.ns18112.oracleGeneral.zst TwoQ cache size      494, 1244491 req, miss ratio 0.1825, byte miss ratio 0.1825
result/tencentBlock.ns18112.oracleGeneral.zst TwoQ cache size     1482, 1244491 req, miss ratio 0.1787, byte miss ratio 0.1787
result/tencentBlock.ns18112.oracleGeneral.zst TwoQ cache size     4941, 1244491 req, miss ratio 0.1762, byte miss ratio 0.1762
result/tencentBlock.ns18112.oracleGeneral.zst TwoQ cache size     9882, 1244491 req, miss ratio 0.1319, byte miss ratio 0.1319
result/tencentBlock.ns18112.oracleGeneral.zst TwoQ cache size    19764, 1244491 req, miss ratio 0.0677, byte miss ratio 0.0677
result/tencentBlock.ns18112.oracleGeneral.zst TwoQ cache size    39528, 1244491 req, miss ratio 0.0557, byte miss ratio 0.0557
result/tencentBlock.ns18112.oracleGeneral.zst S4LRU(25:25:25:25) cache size       49, 1244491 req, miss ratio 0.2790, byte miss ratio 0.2790
result/tencentBlock.ns18112.oracleGeneral.zst S4LRU(25:25:25:25) cache size      148, 1244491 req, miss ratio 0.2193, byte miss ratio 0.2193
result/tencentBlock.ns18112.oracleGeneral.zst S4LRU(25:25:25:25) cache size      494, 1244491 req, miss ratio 0.1859, byte miss ratio 0.1859
result/tencentBlock.ns18112.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1482, 1244491 req, miss ratio 0.1786, byte miss ratio 0.1786
result/tencentBlock.ns18112.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4941, 1244491 req, miss ratio 0.1641, byte miss ratio 0.1641
result/tencentBlock.ns18112.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9882, 1244491 req, miss ratio 0.1439, byte miss ratio 0.1439
result/tencentBlock.ns18112.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19764, 1244491 req, miss ratio 0.0889, byte miss ratio 0.0889
result/tencentBlock.ns18112.oracleGeneral.zst S4LRU(25:25:25:25) cache size    39528, 1244491 req, miss ratio 0.0401, byte miss ratio 0.0401
result/tencentBlock.ns18112.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       49, 1244491 req, miss ratio 0.3796, byte miss ratio 0.3796
result/tencentBlock.ns18112.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      148, 1244491 req, miss ratio 0.2444, byte miss ratio 0.2444
result/tencentBlock.ns18112.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      494, 1244491 req, miss ratio 0.1904, byte miss ratio 0.1904
result/tencentBlock.ns18112.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1482, 1244491 req, miss ratio 0.1818, byte miss ratio 0.1818
result/tencentBlock.ns18112.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4941, 1244491 req, miss ratio 0.1704, byte miss ratio 0.1704
result/tencentBlock.ns18112.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9882, 1244491 req, miss ratio 0.1510, byte miss ratio 0.1510
result/tencentBlock.ns18112.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19764, 1244491 req, miss ratio 0.0980, byte miss ratio 0.0980
result/tencentBlock.ns18112.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    39528, 1244491 req, miss ratio 0.0527, byte miss ratio 0.0527
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d cache size       49, 1244491 req, miss ratio 0.2657, byte miss ratio 0.2657
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d cache size      148, 1244491 req, miss ratio 0.1890, byte miss ratio 0.1890
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d cache size      494, 1244491 req, miss ratio 0.1822, byte miss ratio 0.1822
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d cache size     1482, 1244491 req, miss ratio 0.1781, byte miss ratio 0.1781
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d cache size     4941, 1244491 req, miss ratio 0.1640, byte miss ratio 0.1640
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d cache size     9882, 1244491 req, miss ratio 0.1447, byte miss ratio 0.1447
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d cache size    19764, 1244491 req, miss ratio 0.0694, byte miss ratio 0.0694
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d cache size    39528, 1244491 req, miss ratio 0.0413, byte miss ratio 0.0413
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO cache size       49, 1244491 req, miss ratio 0.2723, byte miss ratio 0.2723
