result/tencentBlock.ns3801.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1268444, 23854768 req, miss ratio 0.0760, byte miss ratio 0.0760
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d cache size     1585, 23854768 req, miss ratio 0.6126, byte miss ratio 0.6126
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d cache size     4756, 23854768 req, miss ratio 0.5469, byte miss ratio 0.5469
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d cache size    15855, 23854768 req, miss ratio 0.4671, byte miss ratio 0.4671
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d cache size    47566, 23854768 req, miss ratio 0.3609, byte miss ratio 0.3609
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d cache size   158555, 23854768 req, miss ratio 0.2285, byte miss ratio 0.2285
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d cache size   317111, 23854768 req, miss ratio 0.1547, byte miss ratio 0.1547
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d cache size   634222, 23854768 req, miss ratio 0.0975, byte miss ratio 0.0975
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d cache size  1268444, 23854768 req, miss ratio 0.0690, byte miss ratio 0.0690
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO cache size     1585, 23854768 req, miss ratio 0.6162, byte miss ratio 0.6162
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO cache size     4756, 23854768 req, miss ratio 0.5535, byte miss ratio 0.5535
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO cache size    15855, 23854768 req, miss ratio 0.4667, byte miss ratio 0.4667
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO cache size    47566, 23854768 req, miss ratio 0.3587, byte miss ratio 0.3587
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO cache size   158555, 23854768 req, miss ratio 0.2222, byte miss ratio 0.2222
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO cache size   317111, 23854768 req, miss ratio 0.1547, byte miss ratio 0.1547
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO cache size   634222, 23854768 req, miss ratio 0.0967, byte miss ratio 0.0967
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO cache size  1268444, 23854768 req, miss ratio 0.0690, byte miss ratio 0.0690
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1585, 23854768 req, miss ratio 0.6532, byte miss ratio 0.6532
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4756, 23854768 req, miss ratio 0.5914, byte miss ratio 0.5914
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15855, 23854768 req, miss ratio 0.4973, byte miss ratio 0.4973
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    47566, 23854768 req, miss ratio 0.3719, byte miss ratio 0.3719
