result/tencentBlock.ns8324.oracleGeneral.zst B-LRU cache size    37124, 1251610 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns8324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       46, 1251610 req, miss ratio 0.4300, byte miss ratio 0.4300
result/tencentBlock.ns8324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      139, 1251610 req, miss ratio 0.2110, byte miss ratio 0.2110
result/tencentBlock.ns8324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      464, 1251610 req, miss ratio 0.1785, byte miss ratio 0.1785
result/tencentBlock.ns8324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1392, 1251610 req, miss ratio 0.1616, byte miss ratio 0.1616
result/tencentBlock.ns8324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4640, 1251610 req, miss ratio 0.1351, byte miss ratio 0.1351
result/tencentBlock.ns8324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9281, 1251610 req, miss ratio 0.1045, byte miss ratio 0.1045
result/tencentBlock.ns8324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18562, 1251610 req, miss ratio 0.0802, byte miss ratio 0.0802
result/tencentBlock.ns8324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    37124, 1251610 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns8324.oracleGeneral.zst S4LRU(25:25:25:25) cache size       46, 1251610 req, miss ratio 0.3760, byte miss ratio 0.3760
result/tencentBlock.ns8324.oracleGeneral.zst S4LRU(25:25:25:25) cache size      139, 1251610 req, miss ratio 0.2001, byte miss ratio 0.2001
result/tencentBlock.ns8324.oracleGeneral.zst S4LRU(25:25:25:25) cache size      464, 1251610 req, miss ratio 0.1699, byte miss ratio 0.1699
result/tencentBlock.ns8324.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1392, 1251610 req, miss ratio 0.1556, byte miss ratio 0.1556
result/tencentBlock.ns8324.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4640, 1251610 req, miss ratio 0.1300, byte miss ratio 0.1300
