result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d-1 cache size     4841, 8172887 req, miss ratio 0.1986, byte miss ratio 0.1986
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d-1 cache size    14523, 8172887 req, miss ratio 0.1678, byte miss ratio 0.1678
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d-1 cache size    48412, 8172887 req, miss ratio 0.1209, byte miss ratio 0.1209
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d-1 cache size    96825, 8172887 req, miss ratio 0.0784, byte miss ratio 0.0784
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d-1 cache size   193650, 8172887 req, miss ratio 0.0633, byte miss ratio 0.0633
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d-1 cache size   387301, 8172887 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns17681.oracleGeneral.zst LRB cache size      484, 8172887 req, miss ratio 0.3160, byte miss ratio 0.3160
result/tencentBlock.ns17681.oracleGeneral.zst LRB cache size     1452, 8172887 req, miss ratio 0.2399, byte miss ratio 0.2399
result/tencentBlock.ns17681.oracleGeneral.zst LRB cache size     4841, 8172887 req, miss ratio 0.1919, byte miss ratio 0.1919
result/tencentBlock.ns17681.oracleGeneral.zst LRB cache size    14523, 8172887 req, miss ratio 0.1650, byte miss ratio 0.1650
result/tencentBlock.ns17681.oracleGeneral.zst LRB cache size    48412, 8172887 req, miss ratio 0.1066, byte miss ratio 0.1066
result/tencentBlock.ns17681.oracleGeneral.zst LRB cache size    96825, 8172887 req, miss ratio 0.0756, byte miss ratio 0.0756
result/tencentBlock.ns17681.oracleGeneral.zst LRB cache size   193650, 8172887 req, miss ratio 0.0627, byte miss ratio 0.0627
result/tencentBlock.ns17681.oracleGeneral.zst LRB cache size   387301, 8172887 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns17681.oracleGeneral.zst B-LRU cache size      484, 8172887 req, miss ratio 0.3920, byte miss ratio 0.3920
result/tencentBlock.ns17681.oracleGeneral.zst B-LRU cache size     1452, 8172887 req, miss ratio 0.2814, byte miss ratio 0.2814
result/tencentBlock.ns17681.oracleGeneral.zst B-LRU cache size     4841, 8172887 req, miss ratio 0.2519, byte miss ratio 0.2519
result/tencentBlock.ns17681.oracleGeneral.zst B-LRU cache size    14523, 8172887 req, miss ratio 0.1913, byte miss ratio 0.1913
result/tencentBlock.ns17681.oracleGeneral.zst B-LRU cache size    48412, 8172887 req, miss ratio 0.1446, byte miss ratio 0.1446
result/tencentBlock.ns17681.oracleGeneral.zst B-LRU cache size    96825, 8172887 req, miss ratio 0.1072, byte miss ratio 0.1072
result/tencentBlock.ns17681.oracleGeneral.zst B-LRU cache size   193650, 8172887 req, miss ratio 0.0960, byte miss ratio 0.0960
result/tencentBlock.ns17681.oracleGeneral.zst B-LRU cache size   387301, 8172887 req, miss ratio 0.0953, byte miss ratio 0.0953
result/tencentBlock.ns17681.oracleGeneral.zst S4LRU(25:25:25:25) cache size      484, 8172887 req, miss ratio 0.3040, byte miss ratio 0.3040
result/tencentBlock.ns17681.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1452, 8172887 req, miss ratio 0.2561, byte miss ratio 0.2561
result/tencentBlock.ns17681.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4841, 8172887 req, miss ratio 0.2221, byte miss ratio 0.2221
result/tencentBlock.ns17681.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14523, 8172887 req, miss ratio 0.1763, byte miss ratio 0.1763
result/tencentBlock.ns17681.oracleGeneral.zst S4LRU(25:25:25:25) cache size    48412, 8172887 req, miss ratio 0.1375, byte miss ratio 0.1375
