result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO cache size      942, 1846135 req, miss ratio 0.2589, byte miss ratio 0.2589
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO cache size     2828, 1846135 req, miss ratio 0.2447, byte miss ratio 0.2447
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO cache size     9428, 1846135 req, miss ratio 0.2252, byte miss ratio 0.2252
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO cache size    18857, 1846135 req, miss ratio 0.1947, byte miss ratio 0.1947
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO cache size    37714, 1846135 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO cache size    75428, 1846135 req, miss ratio 0.0602, byte miss ratio 0.0602
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d cache size       94, 1846135 req, miss ratio 0.5125, byte miss ratio 0.5125
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d cache size      282, 1846135 req, miss ratio 0.3773, byte miss ratio 0.3773
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d cache size      942, 1846135 req, miss ratio 0.2555, byte miss ratio 0.2555
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d cache size     2828, 1846135 req, miss ratio 0.2443, byte miss ratio 0.2443
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d cache size     9428, 1846135 req, miss ratio 0.2252, byte miss ratio 0.2252
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d cache size    18857, 1846135 req, miss ratio 0.1949, byte miss ratio 0.1949
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d cache size    37714, 1846135 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns6229.oracleGeneral.zst S3FIFO-d cache size    75428, 1846135 req, miss ratio 0.0602, byte miss ratio 0.0602
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       94, 1846135 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      282, 1846135 req, miss ratio 0.4078, byte miss ratio 0.4078
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      942, 1846135 req, miss ratio 0.2865, byte miss ratio 0.2865
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2828, 1846135 req, miss ratio 0.2720, byte miss ratio 0.2720
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9428, 1846135 req, miss ratio 0.2246, byte miss ratio 0.2246
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18857, 1846135 req, miss ratio 0.1925, byte miss ratio 0.1925
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    37714, 1846135 req, miss ratio 0.1340, byte miss ratio 0.1340
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    75428, 1846135 req, miss ratio 0.0604, byte miss ratio 0.0604
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       94, 1846135 req, miss ratio 0.5911, byte miss ratio 0.5911
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      282, 1846135 req, miss ratio 0.3361, byte miss ratio 0.3361
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      942, 1846135 req, miss ratio 0.2625, byte miss ratio 0.2625
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2828, 1846135 req, miss ratio 0.2471, byte miss ratio 0.2471
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9428, 1846135 req, miss ratio 0.2197, byte miss ratio 0.2197
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18857, 1846135 req, miss ratio 0.1909, byte miss ratio 0.1909
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    37714, 1846135 req, miss ratio 0.1372, byte miss ratio 0.1372
result/tencentBlock.ns6229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    75428, 1846135 req, miss ratio 0.0546, byte miss ratio 0.0546
