result/tencentBlock.ns19903.oracleGeneral.zst B-LRU cache size    73581, 2607201 req, miss ratio 0.0605, byte miss ratio 0.0605
result/tencentBlock.ns19903.oracleGeneral.zst TwoQ cache size       91, 2607201 req, miss ratio 0.2462, byte miss ratio 0.2462
result/tencentBlock.ns19903.oracleGeneral.zst TwoQ cache size      275, 2607201 req, miss ratio 0.1765, byte miss ratio 0.1765
result/tencentBlock.ns19903.oracleGeneral.zst TwoQ cache size      919, 2607201 req, miss ratio 0.1546, byte miss ratio 0.1546
result/tencentBlock.ns19903.oracleGeneral.zst TwoQ cache size     2759, 2607201 req, miss ratio 0.1437, byte miss ratio 0.1437
result/tencentBlock.ns19903.oracleGeneral.zst TwoQ cache size     9197, 2607201 req, miss ratio 0.1123, byte miss ratio 0.1123
result/tencentBlock.ns19903.oracleGeneral.zst TwoQ cache size    18395, 2607201 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns19903.oracleGeneral.zst TwoQ cache size    36790, 2607201 req, miss ratio 0.0506, byte miss ratio 0.0506
result/tencentBlock.ns19903.oracleGeneral.zst TwoQ cache size    73581, 2607201 req, miss ratio 0.0425, byte miss ratio 0.0425
result/tencentBlock.ns19903.oracleGeneral.zst S4LRU(25:25:25:25) cache size       91, 2607201 req, miss ratio 0.2560, byte miss ratio 0.2560
result/tencentBlock.ns19903.oracleGeneral.zst S4LRU(25:25:25:25) cache size      275, 2607201 req, miss ratio 0.2087, byte miss ratio 0.2087
result/tencentBlock.ns19903.oracleGeneral.zst S4LRU(25:25:25:25) cache size      919, 2607201 req, miss ratio 0.1617, byte miss ratio 0.1617
result/tencentBlock.ns19903.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2759, 2607201 req, miss ratio 0.1478, byte miss ratio 0.1478
result/tencentBlock.ns19903.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9197, 2607201 req, miss ratio 0.1284, byte miss ratio 0.1284
result/tencentBlock.ns19903.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18395, 2607201 req, miss ratio 0.1042, byte miss ratio 0.1042
result/tencentBlock.ns19903.oracleGeneral.zst S4LRU(25:25:25:25) cache size    36790, 2607201 req, miss ratio 0.0430, byte miss ratio 0.0430
result/tencentBlock.ns19903.oracleGeneral.zst S4LRU(25:25:25:25) cache size    73581, 2607201 req, miss ratio 0.0363, byte miss ratio 0.0363
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d cache size       91, 2607201 req, miss ratio 0.2464, byte miss ratio 0.2464
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d cache size      275, 2607201 req, miss ratio 0.1787, byte miss ratio 0.1787
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d cache size      919, 2607201 req, miss ratio 0.1555, byte miss ratio 0.1555
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d cache size     2759, 2607201 req, miss ratio 0.1440, byte miss ratio 0.1440
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d cache size     9197, 2607201 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d cache size    18395, 2607201 req, miss ratio 0.0854, byte miss ratio 0.0854
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d cache size    36790, 2607201 req, miss ratio 0.0430, byte miss ratio 0.0430
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-d cache size    73581, 2607201 req, miss ratio 0.0365, byte miss ratio 0.0365
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO cache size       91, 2607201 req, miss ratio 0.2489, byte miss ratio 0.2489
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO cache size      275, 2607201 req, miss ratio 0.1816, byte miss ratio 0.1816
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO cache size      919, 2607201 req, miss ratio 0.1561, byte miss ratio 0.1561
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO cache size     2759, 2607201 req, miss ratio 0.1440, byte miss ratio 0.1440
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO cache size     9197, 2607201 req, miss ratio 0.1137, byte miss ratio 0.1137
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO cache size    18395, 2607201 req, miss ratio 0.0852, byte miss ratio 0.0852
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO cache size    36790, 2607201 req, miss ratio 0.0429, byte miss ratio 0.0429
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO cache size    73581, 2607201 req, miss ratio 0.0365, byte miss ratio 0.0365
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       91, 2607201 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      275, 2607201 req, miss ratio 0.2403, byte miss ratio 0.2403
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      919, 2607201 req, miss ratio 0.1930, byte miss ratio 0.1930
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2759, 2607201 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9197, 2607201 req, miss ratio 0.1074, byte miss ratio 0.1074
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18395, 2607201 req, miss ratio 0.0735, byte miss ratio 0.0735
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    36790, 2607201 req, miss ratio 0.0447, byte miss ratio 0.0447
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    73581, 2607201 req, miss ratio 0.0377, byte miss ratio 0.0377
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       91, 2607201 req, miss ratio 0.2525, byte miss ratio 0.2525
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      275, 2607201 req, miss ratio 0.1803, byte miss ratio 0.1803
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      919, 2607201 req, miss ratio 0.1521, byte miss ratio 0.1521
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2759, 2607201 req, miss ratio 0.1373, byte miss ratio 0.1373
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9197, 2607201 req, miss ratio 0.1065, byte miss ratio 0.1065
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18395, 2607201 req, miss ratio 0.0750, byte miss ratio 0.0750
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    36790, 2607201 req, miss ratio 0.0453, byte miss ratio 0.0453
result/tencentBlock.ns19903.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    73581, 2607201 req, miss ratio 0.0404, byte miss ratio 0.0404
