result/tencentBlock.ns10699.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2120, 1497041 req, miss ratio 0.7201, byte miss ratio 0.7201
result/tencentBlock.ns10699.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6360, 1497041 req, miss ratio 0.5471, byte miss ratio 0.5471
result/tencentBlock.ns10699.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21200, 1497041 req, miss ratio 0.3762, byte miss ratio 0.3762
result/tencentBlock.ns10699.oracleGeneral.zst S4LRU(25:25:25:25) cache size    42400, 1497041 req, miss ratio 0.2025, byte miss ratio 0.2025
result/tencentBlock.ns10699.oracleGeneral.zst S4LRU(25:25:25:25) cache size    84801, 1497041 req, miss ratio 0.1678, byte miss ratio 0.1678
result/tencentBlock.ns10699.oracleGeneral.zst S4LRU(25:25:25:25) cache size   169603, 1497041 req, miss ratio 0.1423, byte miss ratio 0.1423
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d cache size      212, 1497041 req, miss ratio 0.8877, byte miss ratio 0.8877
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d cache size      636, 1497041 req, miss ratio 0.8344, byte miss ratio 0.8344
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d cache size     2120, 1497041 req, miss ratio 0.6585, byte miss ratio 0.6585
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d cache size     6360, 1497041 req, miss ratio 0.5218, byte miss ratio 0.5218
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d cache size    21200, 1497041 req, miss ratio 0.3275, byte miss ratio 0.3275
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d cache size    42400, 1497041 req, miss ratio 0.1959, byte miss ratio 0.1959
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d cache size    84801, 1497041 req, miss ratio 0.1699, byte miss ratio 0.1699
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d cache size   169603, 1497041 req, miss ratio 0.1428, byte miss ratio 0.1428
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO cache size      212, 1497041 req, miss ratio 0.8861, byte miss ratio 0.8861
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO cache size      636, 1497041 req, miss ratio 0.8369, byte miss ratio 0.8369
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO cache size     2120, 1497041 req, miss ratio 0.6543, byte miss ratio 0.6543
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO cache size     6360, 1497041 req, miss ratio 0.5199, byte miss ratio 0.5199
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO cache size    21200, 1497041 req, miss ratio 0.3262, byte miss ratio 0.3262
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO cache size    42400, 1497041 req, miss ratio 0.1955, byte miss ratio 0.1955
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO cache size    84801, 1497041 req, miss ratio 0.1699, byte miss ratio 0.1699
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO cache size   169603, 1497041 req, miss ratio 0.1428, byte miss ratio 0.1428
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      212, 1497041 req, miss ratio 0.8934, byte miss ratio 0.8934
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      636, 1497041 req, miss ratio 0.8263, byte miss ratio 0.8263
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2120, 1497041 req, miss ratio 0.6589, byte miss ratio 0.6589
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6360, 1497041 req, miss ratio 0.5205, byte miss ratio 0.5205
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21200, 1497041 req, miss ratio 0.3011, byte miss ratio 0.3011
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    42400, 1497041 req, miss ratio 0.2038, byte miss ratio 0.2038
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    84801, 1497041 req, miss ratio 0.1752, byte miss ratio 0.1752
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   169603, 1497041 req, miss ratio 0.1485, byte miss ratio 0.1485
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      212, 1497041 req, miss ratio 0.8886, byte miss ratio 0.8886
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      636, 1497041 req, miss ratio 0.8202, byte miss ratio 0.8202
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2120, 1497041 req, miss ratio 0.6631, byte miss ratio 0.6631
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6360, 1497041 req, miss ratio 0.5269, byte miss ratio 0.5269
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21200, 1497041 req, miss ratio 0.3360, byte miss ratio 0.3360
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    42400, 1497041 req, miss ratio 0.2139, byte miss ratio 0.2139
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    84801, 1497041 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns10699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   169603, 1497041 req, miss ratio 0.1511, byte miss ratio 0.1511
