result/tencentBlock.ns2034.oracleGeneral.zst S3FIFO cache size   170024, 1478854 req, miss ratio 0.1460, byte miss ratio 0.1460
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      212, 1478854 req, miss ratio 0.6976, byte miss ratio 0.6976
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      637, 1478854 req, miss ratio 0.5696, byte miss ratio 0.5696
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2125, 1478854 req, miss ratio 0.4956, byte miss ratio 0.4956
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6375, 1478854 req, miss ratio 0.4410, byte miss ratio 0.4410
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21253, 1478854 req, miss ratio 0.3675, byte miss ratio 0.3675
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    42506, 1478854 req, miss ratio 0.2892, byte miss ratio 0.2892
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    85012, 1478854 req, miss ratio 0.1745, byte miss ratio 0.1745
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   170024, 1478854 req, miss ratio 0.1466, byte miss ratio 0.1466
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      212, 1478854 req, miss ratio 0.5537, byte miss ratio 0.5537
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      637, 1478854 req, miss ratio 0.4949, byte miss ratio 0.4949
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2125, 1478854 req, miss ratio 0.4664, byte miss ratio 0.4664
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6375, 1478854 req, miss ratio 0.4384, byte miss ratio 0.4384
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21253, 1478854 req, miss ratio 0.3729, byte miss ratio 0.3729
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    42506, 1478854 req, miss ratio 0.3008, byte miss ratio 0.3008
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    85012, 1478854 req, miss ratio 0.1844, byte miss ratio 0.1844
result/tencentBlock.ns2034.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   170024, 1478854 req, miss ratio 0.1592, byte miss ratio 0.1592
