result/tencentBlock.ns14879.oracleGeneral.zst B-LRU cache size   248027, 2894512 req, miss ratio 0.1779, byte miss ratio 0.1779
result/tencentBlock.ns14879.oracleGeneral.zst S4LRU(25:25:25:25) cache size      310, 2894512 req, miss ratio 0.5489, byte miss ratio 0.5489
result/tencentBlock.ns14879.oracleGeneral.zst S4LRU(25:25:25:25) cache size      930, 2894512 req, miss ratio 0.3898, byte miss ratio 0.3898
result/tencentBlock.ns14879.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3100, 2894512 req, miss ratio 0.2706, byte miss ratio 0.2706
result/tencentBlock.ns14879.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9301, 2894512 req, miss ratio 0.2483, byte miss ratio 0.2483
result/tencentBlock.ns14879.oracleGeneral.zst S4LRU(25:25:25:25) cache size    31003, 2894512 req, miss ratio 0.2200, byte miss ratio 0.2200
result/tencentBlock.ns14879.oracleGeneral.zst S4LRU(25:25:25:25) cache size    62006, 2894512 req, miss ratio 0.1570, byte miss ratio 0.1570
result/tencentBlock.ns14879.oracleGeneral.zst S4LRU(25:25:25:25) cache size   124013, 2894512 req, miss ratio 0.1237, byte miss ratio 0.1237
result/tencentBlock.ns14879.oracleGeneral.zst S4LRU(25:25:25:25) cache size   248027, 2894512 req, miss ratio 0.1072, byte miss ratio 0.1072
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d cache size      310, 2894512 req, miss ratio 0.5103, byte miss ratio 0.5103
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d cache size      930, 2894512 req, miss ratio 0.3636, byte miss ratio 0.3636
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d cache size     3100, 2894512 req, miss ratio 0.2704, byte miss ratio 0.2704
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d cache size     9301, 2894512 req, miss ratio 0.2412, byte miss ratio 0.2412
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d cache size    31003, 2894512 req, miss ratio 0.1920, byte miss ratio 0.1920
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d cache size    62006, 2894512 req, miss ratio 0.1447, byte miss ratio 0.1447
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d cache size   124013, 2894512 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO-d cache size   248027, 2894512 req, miss ratio 0.1076, byte miss ratio 0.1076
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO cache size      310, 2894512 req, miss ratio 0.5199, byte miss ratio 0.5199
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO cache size      930, 2894512 req, miss ratio 0.3573, byte miss ratio 0.3573
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO cache size     3100, 2894512 req, miss ratio 0.2707, byte miss ratio 0.2707
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO cache size     9301, 2894512 req, miss ratio 0.2413, byte miss ratio 0.2413
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO cache size    31003, 2894512 req, miss ratio 0.1920, byte miss ratio 0.1920
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO cache size    62006, 2894512 req, miss ratio 0.1454, byte miss ratio 0.1454
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO cache size   124013, 2894512 req, miss ratio 0.1235, byte miss ratio 0.1235
result/tencentBlock.ns14879.oracleGeneral.zst S3FIFO cache size   248027, 2894512 req, miss ratio 0.1076, byte miss ratio 0.1076
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      310, 2894512 req, miss ratio 0.5896, byte miss ratio 0.5896
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      930, 2894512 req, miss ratio 0.4396, byte miss ratio 0.4396
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3100, 2894512 req, miss ratio 0.3764, byte miss ratio 0.3764
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9301, 2894512 req, miss ratio 0.2734, byte miss ratio 0.2734
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    31003, 2894512 req, miss ratio 0.2241, byte miss ratio 0.2241
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    62006, 2894512 req, miss ratio 0.1735, byte miss ratio 0.1735
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   124013, 2894512 req, miss ratio 0.1445, byte miss ratio 0.1445
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   248027, 2894512 req, miss ratio 0.1161, byte miss ratio 0.1161
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      310, 2894512 req, miss ratio 0.5832, byte miss ratio 0.5832
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      930, 2894512 req, miss ratio 0.3707, byte miss ratio 0.3707
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3100, 2894512 req, miss ratio 0.3544, byte miss ratio 0.3544
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9301, 2894512 req, miss ratio 0.2605, byte miss ratio 0.2605
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    31003, 2894512 req, miss ratio 0.2180, byte miss ratio 0.2180
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    62006, 2894512 req, miss ratio 0.1632, byte miss ratio 0.1632
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   124013, 2894512 req, miss ratio 0.1357, byte miss ratio 0.1357
result/tencentBlock.ns14879.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   248027, 2894512 req, miss ratio 0.1137, byte miss ratio 0.1137
