result/tencentBlock.ns20496.oracleGeneral.zst B-LRU cache size     2425, 1978895 req, miss ratio 0.5044, byte miss ratio 0.5044
result/tencentBlock.ns20496.oracleGeneral.zst B-LRU cache size     7275, 1978895 req, miss ratio 0.4639, byte miss ratio 0.4639
result/tencentBlock.ns20496.oracleGeneral.zst B-LRU cache size    24252, 1978895 req, miss ratio 0.3917, byte miss ratio 0.3917
result/tencentBlock.ns20496.oracleGeneral.zst B-LRU cache size    48505, 1978895 req, miss ratio 0.3373, byte miss ratio 0.3373
result/tencentBlock.ns20496.oracleGeneral.zst B-LRU cache size    97010, 1978895 req, miss ratio 0.2275, byte miss ratio 0.2275
result/tencentBlock.ns20496.oracleGeneral.zst B-LRU cache size   194020, 1978895 req, miss ratio 0.2067, byte miss ratio 0.2067
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO cache size      242, 1978895 req, miss ratio 0.5461, byte miss ratio 0.5461
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO cache size      727, 1978895 req, miss ratio 0.4952, byte miss ratio 0.4952
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO cache size     2425, 1978895 req, miss ratio 0.4298, byte miss ratio 0.4298
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO cache size     7275, 1978895 req, miss ratio 0.4036, byte miss ratio 0.4036
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO cache size    24252, 1978895 req, miss ratio 0.3105, byte miss ratio 0.3105
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO cache size    48505, 1978895 req, miss ratio 0.2530, byte miss ratio 0.2530
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO cache size    97010, 1978895 req, miss ratio 0.1760, byte miss ratio 0.1760
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO cache size   194020, 1978895 req, miss ratio 0.1236, byte miss ratio 0.1236
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d cache size      242, 1978895 req, miss ratio 0.5400, byte miss ratio 0.5400
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d cache size      727, 1978895 req, miss ratio 0.4955, byte miss ratio 0.4955
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d cache size     2425, 1978895 req, miss ratio 0.4297, byte miss ratio 0.4297
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d cache size     7275, 1978895 req, miss ratio 0.4035, byte miss ratio 0.4035
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d cache size    24252, 1978895 req, miss ratio 0.3102, byte miss ratio 0.3102
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d cache size    48505, 1978895 req, miss ratio 0.2526, byte miss ratio 0.2526
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d cache size    97010, 1978895 req, miss ratio 0.1765, byte miss ratio 0.1765
result/tencentBlock.ns20496.oracleGeneral.zst S3FIFO-d cache size   194020, 1978895 req, miss ratio 0.1236, byte miss ratio 0.1236
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      242, 1978895 req, miss ratio 0.6613, byte miss ratio 0.6613
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      727, 1978895 req, miss ratio 0.6392, byte miss ratio 0.6392
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2425, 1978895 req, miss ratio 0.4799, byte miss ratio 0.4799
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7275, 1978895 req, miss ratio 0.4213, byte miss ratio 0.4213
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    24252, 1978895 req, miss ratio 0.3505, byte miss ratio 0.3505
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    48505, 1978895 req, miss ratio 0.2757, byte miss ratio 0.2757
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    97010, 1978895 req, miss ratio 0.1734, byte miss ratio 0.1734
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   194020, 1978895 req, miss ratio 0.1277, byte miss ratio 0.1277
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      242, 1978895 req, miss ratio 0.5882, byte miss ratio 0.5882
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      727, 1978895 req, miss ratio 0.5998, byte miss ratio 0.5998
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2425, 1978895 req, miss ratio 0.4394, byte miss ratio 0.4394
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7275, 1978895 req, miss ratio 0.4025, byte miss ratio 0.4025
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    24252, 1978895 req, miss ratio 0.3216, byte miss ratio 0.3216
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    48505, 1978895 req, miss ratio 0.2683, byte miss ratio 0.2683
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    97010, 1978895 req, miss ratio 0.1739, byte miss ratio 0.1739
result/tencentBlock.ns20496.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   194020, 1978895 req, miss ratio 0.1306, byte miss ratio 0.1306
