result/tencentBlock.ns3944.oracleGeneral.zst B-LRU cache size     8970, 25965545 req, miss ratio 0.9167, byte miss ratio 0.9167
result/tencentBlock.ns3944.oracleGeneral.zst B-LRU cache size    26911, 25965545 req, miss ratio 0.9014, byte miss ratio 0.9014
result/tencentBlock.ns3944.oracleGeneral.zst B-LRU cache size    89703, 25965545 req, miss ratio 0.8728, byte miss ratio 0.8728
result/tencentBlock.ns3944.oracleGeneral.zst B-LRU cache size   269111, 25965545 req, miss ratio 0.8272, byte miss ratio 0.8272
result/tencentBlock.ns3944.oracleGeneral.zst B-LRU cache size   897038, 25965545 req, miss ratio 0.7267, byte miss ratio 0.7267
result/tencentBlock.ns3944.oracleGeneral.zst B-LRU cache size  1794076, 25965545 req, miss ratio 0.5864, byte miss ratio 0.5864
result/tencentBlock.ns3944.oracleGeneral.zst B-LRU cache size  3588152, 25965545 req, miss ratio 0.5384, byte miss ratio 0.5384
result/tencentBlock.ns3944.oracleGeneral.zst B-LRU cache size  7176305, 25965545 req, miss ratio 0.5337, byte miss ratio 0.5337
result/tencentBlock.ns3944.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8970, 25965545 req, miss ratio 0.9192, byte miss ratio 0.9192
result/tencentBlock.ns3944.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    26911, 25965545 req, miss ratio 0.9057, byte miss ratio 0.9057
result/tencentBlock.ns3944.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    89703, 25965545 req, miss ratio 0.8800, byte miss ratio 0.8800
result/tencentBlock.ns3944.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   269111, 25965545 req, miss ratio 0.8424, byte miss ratio 0.8424
result/tencentBlock.ns3944.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   897038, 25965545 req, miss ratio 0.7519, byte miss ratio 0.7519
result/tencentBlock.ns3944.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1794076, 25965545 req, miss ratio 0.6547, byte miss ratio 0.6547
result/tencentBlock.ns3944.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3588152, 25965545 req, miss ratio 0.4968, byte miss ratio 0.4968
result/tencentBlock.ns3944.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  7176305, 25965545 req, miss ratio 0.4741, byte miss ratio 0.4741
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d cache size     8970, 25965545 req, miss ratio 0.9027, byte miss ratio 0.9027
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d cache size    26911, 25965545 req, miss ratio 0.8719, byte miss ratio 0.8719
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d cache size    89703, 25965545 req, miss ratio 0.8456, byte miss ratio 0.8456
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d cache size   269111, 25965545 req, miss ratio 0.7975, byte miss ratio 0.7975
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d cache size   897038, 25965545 req, miss ratio 0.6944, byte miss ratio 0.6944
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d cache size  1794076, 25965545 req, miss ratio 0.5378, byte miss ratio 0.5378
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d cache size  3588152, 25965545 req, miss ratio 0.4962, byte miss ratio 0.4962
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO-d cache size  7176305, 25965545 req, miss ratio 0.4714, byte miss ratio 0.4714
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO cache size     8970, 25965545 req, miss ratio 0.9043, byte miss ratio 0.9043
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO cache size    26911, 25965545 req, miss ratio 0.8719, byte miss ratio 0.8719
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO cache size    89703, 25965545 req, miss ratio 0.8456, byte miss ratio 0.8456
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO cache size   269111, 25965545 req, miss ratio 0.7975, byte miss ratio 0.7975
