result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1931, 2738546 req, miss ratio 0.3268, byte miss ratio 0.3268
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5795, 2738546 req, miss ratio 0.2666, byte miss ratio 0.2666
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19316, 2738546 req, miss ratio 0.1930, byte miss ratio 0.1930
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    38633, 2738546 req, miss ratio 0.1460, byte miss ratio 0.1460
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    77267, 2738546 req, miss ratio 0.1056, byte miss ratio 0.1056
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   154534, 2738546 req, miss ratio 0.0774, byte miss ratio 0.0774
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      193, 2738546 req, miss ratio 0.5806, byte miss ratio 0.5806
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      579, 2738546 req, miss ratio 0.4649, byte miss ratio 0.4649
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1931, 2738546 req, miss ratio 0.2616, byte miss ratio 0.2616
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5795, 2738546 req, miss ratio 0.2362, byte miss ratio 0.2362
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19316, 2738546 req, miss ratio 0.2392, byte miss ratio 0.2392
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    38633, 2738546 req, miss ratio 0.1515, byte miss ratio 0.1515
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    77267, 2738546 req, miss ratio 0.0897, byte miss ratio 0.0897
result/tencentBlock.ns15133.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   154534, 2738546 req, miss ratio 0.0738, byte miss ratio 0.0738
